//index text 
1 "Hihihih, soy un monstruo muy fuerte"
2 "Hihihih, soy un monstruo muy fuerte"
3 "Hihihih, soy un monstruo muy fuerte"
4 "Hihihih, soy un monstruo muy fuerte"
5 "Hihihih, soy un monstruo muy fuerte"
6 "Hihihih, soy un monstruo muy fuerte"
7 "Hola, soy un monstruo muy fuerte"
8 "Hihihih, soy un monstruo muy fuerte"
9 "Hola, soy un monstruo muy fuerte"
10 "Hihihih, soy un monstruo muy fuerte"
11 "Hihihih, soy un monstruo muy fuerte"
12 "Hihihih, soy un monstruo muy fuerte"
13 "Hihihih, soy un monstruo muy fuerte"
14 "Hihihih, soy un monstruo muy fuerte"
15 "Hihihih, soy un monstruo muy fuerte"
16 "Hihihih, soy un monstruo muy fuerte"
17 "Hihihih, soy un monstruo muy fuerte"
18 "Hihihih, soy un monstruo muy fuerte"
20 "Hihihih, soy un monstruo muy fuerte"
21 "Hihihih, soy un monstruo muy fuerte"
22 "Hihihih, soy un monstruo muy fuerte"
23 "Hihihih, soy un monstruo muy fuerte"
24 "Hihihih, soy un monstruo muy fuerte"
25 "Hihihih, soy un monstruo muy fuerte"
26 "Hihihih, soy un monstruo muy fuerte"
27 "Hihihih, soy un monstruo muy fuerte"
28 "Hihihih, soy un monstruo muy fuerte"
29 "Hihihih, soy un monstruo muy fuerte"
30 "Hihihih, soy un monstruo muy fuerte"
31 "Hihihih, soy un monstruo muy fuerte"
32 "Hihihih, soy un monstruo muy fuerte"
33 "Hihihih, soy un monstruo muy fuerte"
34 "¡¡Estás loco!! Me atacas"
35 "¡¡Estás loco!! Me atacas"
36 "¡¡Estás loco!! Me atacas"
37 "¡¡Estás loco!! Me atacas"
38 "¡¡Estás loco!! Me atacas"
39 "¡¡Estás loco!! Me atacas"
40 "¡¡Estás loco!! Me atacas"
41 "¡¡Estás loco!! Me atacas"
42 "¡¡Estás loco!! Me atacas"
43 "Soy El Golden Monster, estás muerto"
44 "¡¡Estás loco!! Me atacas"
45 "¡¡Estás loco!! Me atacas"
46 "¡¡Estás loco!! Me atacas"
47 "¡¡Estás loco!! Me atacas"
48 "¡¡Estás loco!! Me atacas"
49 "¡¡Estás loco!! Me atacas"
50 "¡¡Estás loco!! Me atacas"
51 "¡¡Estás loco!! Me atacas"
52 "¡¡Estás loco!! Me atacas"
