//=================================================================================================================================================================================================================================================
// Wings Level 4
//=================================================================================================================================================================================================================================================
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	                Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName         Class
0	6412	70	145	2	65	2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing401"         //Wizard
1	6413	70	145	2	65	2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing402"         //Knight
2	6414	70	145	2	65	2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing403"         //Elf
3	6415	70	145	2	65	2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing404"         //Magic Gladiator
4	6416	70	145	2	65	2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	1	        "Wing405"         //Dark Lord
5	6417	70	145	2	65	2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing406"         //Summoner
6	6418	70	145	2	65	2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	1	        "Wing407"         //Rage Fighter
//=================================================================================================================================================================================================================================================
// Wings 2.5
//=================================================================================================================================================================================================================================================
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	                Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName         Class
7	6424	4	145	2	65	2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	1	        "Wing280"         //Dark Lord Rage Fighter
8	6425	4	145	2	65	2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing281"         //Knight Magic
9	6426	4	145	2	65	2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing282"         //Wizard Magic Sum
10	6427	4	145	2	65	2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing283"         //Elf
//=================================================================================================================================================================================================================================================
// Special Wings (Conqueror, Angel and Devil, Power
//=================================================================================================================================================================================================================================================
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	                Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName         Class
11	6428	4	145	2	65	2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "ConquerorWing"   //All
12	6429	4	145	2	65	2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing285"         //All
13	6430	30	145     2       65      2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "WingsOfPower"    //All
//=================================================================================================================================================================================================================================================
// Special Wings Slayer / Rune Wizard / GunCrasher
//=================================================================================================================================================================================================================================================
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	                Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName         Class
14	6431	4	145	2	65	2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing52"   //All
15	6432	4	145	2	65	2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing53"         //All
16	6433	30	145     2       65      2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing55"    //All
17	6434	30	145     2       65      2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing54"    //All
18	6435	30	145     2       65      2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "GuncrahserWing3rd"    //All
19	6436	30	145     2       65      2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "GuncrasherWing4th"    //All
end
