0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Lucky Coin 2"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
//ARMAS FULL OPCIONES
0	5	0	0	1	1	1	1
0	10	0	0	1	1	1	1
0	32	0	0	1	1	1	1


1	5	0	0	1	1	1	1
1	6	0	0	1	1	1	1
1	7	0	0	1	1	1	1
1	8	0	0	1	1	1	1

2	3	0	0	1	1	1	1
2	9	0	0	1	1	1	1

3	4	0	0	1	1	1	1


4	3	0	0	1	1	1	1
4	11	0	0	1	1	1	1
4	4	0	0	1	1	1	1
4	5	0	0	1	1	1	1

5	4	0	0	1	1	1	1
5	5	0	0	1	1	1	1
5	21	0	0	1	1	1	1
5	22	0	0	1	1	1	1

//ARMAS SKILL Y LUCK
0	5	0	0	1	1	0	1
0	10	0	0	1	1	0	1
0	32	0	0	1	1	0	1


1	5	0	0	1	1	0	1
1	6	0	0	1	1	0	1
1	7	0	0	1	1	0	1
1	8	0	0	1	1	0	1

2	3	0	0	1	1	0	1
2	9	0	0	1	1	0	1

3	4	0	0	1	1	0	1


4	3	0	0	1	1	0	1
4	11	0	0	1	1	0	1
4	4	0	0	1	1	0	1
4	5	0	0	1	1	0	1

5	4	0	0	1	1	0	1
5	5	0	0	1	1	0	1
5	21	0	0	1	1	0	1
5	22	0	0	1	1	0	1

//ARMAS SKILL Y OPCION
0	5	0	0	1	0	1	1
0	10	0	0	1	0	1	1
0	32	0	0	1	0	1	1


1	5	0	0	1	0	1	1
1	6	0	0	1	0	1	1
1	7	0	0	1	0	1	1
1	8	0	0	1	0	1	1

2	3	0	0	1	0	1	1
2	9	0	0	1	0	1	1

3	4	0	0	1	0	1	1


4	3	0	0	1	0	1	1
4	11	0	0	1	0	1	1
4	4	0	0	1	0	1	1
4	5	0	0	1	0	1	1

5	4	0	0	1	0	1	1
5	5	0	0	1	0	1	1
5	21	0	0	1	0	1	1
5	22	0	0	1	0	1	1

//SETS FULL 
//STORM
8           15     0          0          1       1      1        1
9           15     0          0          1       1      1        1
10          15     0          0          1       1      1        1
11          15     0          0          1       1      1        1

//SPHINIX
7           7      0          0          1       1      1        1
8           7      0          0          1       1      1        1
9           7      0          0          1       1      1        1
10          7      0          0          1       1      1        1
11          7      0          0          1       1      1        1


//BRASS
7	8	0	0	1	1	1	1
8	8	0	0	1	1	1	1
9	8	0	0	1	1	1	1
10	8	0	0	1	1	1	1
11	8	0	0	1	1	1	1

//SCALE
7	6	0	0	1	1	1	1
8	6	0	0	1	1	1	1
9	6	0	0	1	1	1	1
10	6	0	0	1	1	1	1
11	6	0	0	1	1	1	1

//SPIRIT
7           13     0          0          1       1      1        1
8           13     0          0          1       1      1        1
9           13     0          0          1       1      1        1
10          13     0          0          1       1      1        1
11          13     0          0          1       1      1        1

//WIND
7	12	0	0	1	1	1	1
8	12	0	0	1	1	1	1
9	12	0	0	1	1	1	1
10	12	0	0	1	1	1	1
11	12	0	0	1	1	1	1

//LIGHT PLATE
7	25	0	0	1	1	1	1
8	25	0	0	1	1	1	1
9	25	0	0	1	1	1	1
10	25	0	0	1	1	1	1
11	25	0	0	1	1	1	1

//RED WING
7	40	0	0	1	1	1	1
8	40	0	0	1	1	1	1
9	40	0	0	1	1	1	1
10	40	0	0	1	1	1	1
11	40	0	0	1	1	1	1


//SACRED

0	32	0	0	1	1	1	1
7	59	0	0	1	1	1	1
8	59	0	0	1	1	1	1
9	59	0	0	1	1	1	1
10	59	0	0	1	1	1	1

//PLATE
7	9	0	0	1	1	1	1
8	9	0	0	1	1	1	1
9	9	0	0	1	1	1	1
10	9	0	0	1	1	1	1
11	9	0	0	1	1	1	1

//SET OPCIONES

//STORM
8           15     0          0          1       0      1        1
9           15     0          0          1       0      1        1
10          15     0          0          1       0      1        1
11          15     0          0          1       0      1        1

//SPHINIX
7           7      0          0          1       0      1        1
8           7      0          0          1       0      1        1
9           7      0          0          1       0      1        1
10          7      0          0          1       0      1        1
11          7      0          0          1       0      1        1


//BRASS
7	8	0	0	1	0	1	1
8	8	0	0	1	0	1	1
9	8	0	0	1	0	1	1
10	8	0	0	1	0	1	1
11	8	0	0	1	0	1	1

//SCALE
7	6	0	0	1	0	1	1
8	6	0	0	1	0	1	1
9	6	0	0	1	0	1	1
10	6	0	0	1	0	1	1
11	6	0	0	1	0	1	1

//SPIRIT
7           13     0          0          1       0      1        1
8           13     0          0          1       0      1        1
9           13     0          0          1       0      1        1
10          13     0          0          1       0      1        1
11          13     0          0          1       0      1        1

//WIND
7	12	0	0	1	0	1	1
8	12	0	0	1	0	1	1
9	12	0	0	1	0	1	1
10	12	0	0	1	0	1	1
11	12	0	0	1	0	1	1

//LIGHT PLATE
7	25	0	0	1	0	1	1
8	25	0	0	1	0	1	1
9	25	0	0	1	0	1	1
10	25	0	0	1	0	1	1
11	25	0	0	1	0	1	1

//RED WING
7	40	0	0	1	0	1	1
8	40	0	0	1	0	1	1
9	40	0	0	1	0	1	1
10	40	0	0	1	0	1	1
11	40	0	0	1	0	1	1


//SACRED

0	32	0	0	1	0	1	1
7	59	0	0	1	0	1	1
8	59	0	0	1	0	1	1
9	59	0	0	1	0	1	1
10	59	0	0	1	0	1	1

//PLATE
7	9	0	0	1	0	1	1
8	9	0	0	1	0	1	1
9	9	0	0	1	0	1	1
10	9	0	0	1	0	1	1
11	9	0	0	1	0	1	1

//SET SOLO LUCK
//STORM
8           15     0          0          1       1      0        1
9           15     0          0          1       1      0        1
10          15     0          0          1       1      0        1
11          15     0          0          1       1      0        1

//SPHINIX
7           7      0          0          1       1      0        1
8           7      0          0          1       1      0        1
9           7      0          0          1       1      0        1
10          7      0          0          1       1      0        1
11          7      0          0          1       1      0        1


//BRASS
7	8	0	0	1	1	0	1
8	8	0	0	1	1	0	1
9	8	0	0	1	1	0	1
10	8	0	0	1	1	0	1
11	8	0	0	1	1	0	1

//SCALE
7	6	0	0	1	1	0	1
8	6	0	0	1	1	0	1
9	6	0	0	1	1	0	1
10	6	0	0	1	1	0	1
11	6	0	0	1	1	0	1

//SPIRIT
7           13     0          0          1       1      0        1
8           13     0          0          1       1      0        1
9           13     0          0          1       1      0        1
10          13     0          0          1       1      0        1
11          13     0          0          1       1      0        1

//WIND
7	12	0	0	1	1	0	1
8	12	0	0	1	1	0	1
9	12	0	0	1	1	0	1
10	12	0	0	1	1	0	1
11	12	0	0	1	1	0	1

//LIGHT PLATE
7	25	0	0	1	1	0	1
8	25	0	0	1	1	0	1
9	25	0	0	1	1	0	1
10	25	0	0	1	1	0	1
11	25	0	0	1	1	0	1

//RED WING
7	40	0	0	1	1	0	1
8	40	0	0	1	1	0	1
9	40	0	0	1	1	0	1
10	40	0	0	1	1	0	1
11	40	0	0	1	1	0	1


//SACRED

0	32	0	0	1	1	0	1
7	59	0	0	1	1	0	1
8	59	0	0	1	1	0	1
9	59	0	0	1	1	0	1
10	59	0	0	1	1	0	1

//PLATE
7	9	0	0	1	1	0	1
8	9	0	0	1	1	0	1
9	9	0	0	1	1	0	1
10	9	0	0	1	1	0	1
11	9	0	0	1	1	0	1
end
