0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Medusa"		 1000	   100		  4		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           22     0          0          1       1      1        1
2           14     0          0          1       1      1        1
4           21     0          0          1       1      1        1
5           12     0          0          1       1      1        1
5           19     0          0          1       1      1        1
0           35     0          0          1       1      1        1
0           23     0          0          1       1      1        1
7           29     0          0          1       1      1        1
7           30     0          0          1       1      1        1
7           31     0          0          1       1      1        1
7           33     0          0          1       1      1        1
7           43     0          0          1       1      1        1
7           73     0          0          1       1      1        1
8           29     0          0          1       1      1        1
8           30     0          0          1       1      1        1
8           31     0          0          1       1      1        1
8           32     0          0          1       1      1        1
8           33     0          0          1       1      1        1
8           43     0          0          1       1      1        1
8           73     0          0          1       1      1        1
9           29     0          0          1       1      1        1
9           30     0          0          1       1      1        1
9           31     0          0          1       1      1        1
9           32     0          0          1       1      1        1
9           33     0          0          1       1      1        1
9           43     0          0          1       1      1        1
9           73     0          0          1       1      1        1
10          29     0          0          1       1      1        1
10          30     0          0          1       1      1        1
10          31     0          0          1       1      1        1
10          32     0          0          1       1      1        1
10          33     0          0          1       1      1        1
10          43     0          0          1       1      1        1
10          73     0          0          1       1      1        1
11          29     0          0          1       1      1        1
11          30     0          0          1       1      1        1
11          31     0          0          1       1      1        1
11          32     0          0          1       1      1        1
11          33     0          0          1       1      1        1
11          43     0          0          1       1      1        1
11          73     0          0          1       1      1        1
end
