0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Battle Royale"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
15          0      0          0          0       0      0        0
15          1      0          0          0       0      0        0
15          2      0          0          0       0      0        0
15          3      0          0          0       0      0        0
15          4      0          0          0       0      0        0
15          5      0          0          0       0      0        0
0           1      0          10          0       0      0        0
0           2      0          10          0       0      0        0
0           3      0          10          0       0      0        0
0           4      0          10          0       0      0        0
0           5      0          10          0       0      0        0
0           6      0          10          0       0      0        0
0           6      0          10          0       0      0        0
4           1      0          10          0       0      0        0
4           2      0          10          0       0      0        0
4           3      0          10          0       0      0        0
4           4      0          10          0       0      0        0
4           5      0          10          0       0      0        0
5           1      0          10          0       0      0        0
5           2      0          10          0       0      0        0
5           3      0          10          0       0      0        0
5           4      0          10          0       0      0        0
5           5      0          10          0       0      0        0
6           1      0          10          0       0      0        0
6           2      0          10          0       0      0        0
6           3      0          10          0       0      0        0
6           4      0          10          0       0      0        0
6           5      0          10          0       0      0        0
13          0      0          0          0       0      0        0
13          1      0          0          0       0      0        0
13          2      0          0          0       0      0        0
14          3      0          0          0       0      0        0
end
