//Section   Type   MaxSocket
0           26     5
0           27     5
0           28     5
0           29     5
0           30     5
0           36     5
0           37     5
0           38     5
0           42     5
0           44     5
0           46     5
0           51     5
0           101    5
0           107    5
0           108    5

2           16     5
2           17     5
2           19     5
2           20     5
2           22     5
2           25     5
3           12     5


4           23     5
4           25     5
4           26     5
4           28     5
4           30     5
5           30     5


5           31     5
5           32     5
5           35     5
5           37     5
5           41     5
5           43     5
5           49     5
5           50     5


6           17     5
6           18     5
6           19     5
6           20     5
6           22     5
6           23     5
6           24     5
6           25     5
6           26     5


7           45     5
7           46     5
7           49     5
7           50     5
7           51     5
7           52     5
7           53     5
7           54     5
7           55     5
7           56     5
7           58     5
7           74     5
7           75     5
7           77     5
7           98     5
7           99     5
7           100    5
7           101    5
7           102    5
7           103    5
7           104    5
7           105    5
7           106    5
7           107    5
7           108    5
7           109    5
7           110    5
7           111    5
7           112    5
7           113    5
7           114    5
7           115    5
7           138    5
7           139    5
7           140    5
7           141    5
7           142    5
7           143    5
7           144    5
7           166    5
7           167    5


8           45     5
8           46     5
8           47     5
8           48     5
8           49     5
8           50     5
8           51     5
8           52     5
8           53     5
8           54     5
8           55     5
8           56     5
8           57     5
8           58     5
8           74     5
8           75     5
8           76     5
8           77     5
8           98     5
8           99     5
8           100    5
8           101    5
8           102    5
8           103    5
8           104    5
8           105    5
8           106    5
8           107    5
8           108    5
8           109    5
8           110    5
8           111    5
8           112    5
8           113    5
8           114    5
8           115    5
8           138    5
8           139    5
8           140    5
8           141    5
8           142    5
8           143    5
8           144    5
8           166    5
8           167    5


9           45     5
9           46     5
9           47     5
9           48     5
9           49     5
9           50     5
9           51     5
9           52     5
9           53     5
9           54     5
9           55     5
9           56     5
9           57     5
9           58     5
9           74     5
9           75     5
9           76     5
9           77     5
9           98     5
9           99     5
9           100    5
9           101    5
9           102    5
9           103    5
9           104    5
9           105    5
9           106    5
9           107    5
9           108    5
9           109    5
9           110    5
9           111    5
9           112    5
9           113    5
9           114    5
9           115    5
9           138    5
9           139    5
9           140    5
9           141    5
9           142    5
9           143    5
9           144    5
9           166    5
9           167    5

10          45     5
10          46     5
10          47     5
10          48     5
10          49     5
10          50     5
10          51     5
10          52     5
10          53     5
10          54     5
10          55     5
10          56     5
10          57     5
10          58     5
10          74     5
10          75     5
10          76     5
10          98     5
10          99     5
10          100    5
10          101    5
10          102    5
10          103    5
10          104    5
10          105    5
10          106    5
10          107    5
10          109    5
10          110    5
10          111    5
10          112    5
10          113    5
10          114    5
10          115    5
10          138    5
10          139    5
10          140    5
10          141    5
10          142    5
10          143    5
10          144    5

11          45     5
11          46     5
11          47     5
11          48     5
11          49     5
11          50     5
11          51     5
11          52     5
11          53     5
11          54     5
11          55     5
11          56     5
11          57     5
11          58     5
11          74     5
11          75     5
11          76     5
11          77     5
11          98     5
11          99     5
11          100    5
11          101    5
11          102    5
11          103    5
11          104    5
11          105    5
11          106    5
11          107    5
11          108    5
11          109    5
11          110    5
11          111    5
11          112    5
11          113    5
11          114    5
11          115    5
11          138    5
11          139    5
11          140    5
11          141    5
11          142    5
11          143    5
11          144    5
11          166    5
11          167    5
end
