//Index   Message
0		"Blood Castle cerrara en %d minutos (s)"                                                             
1       "Blood Castle cerro"                                                                                
2       "Blood Castle %d empieza en %d minuto (s)"                                                        
3       "Blood Castle Empezo"                                                                               
4       "Todos los monstruos fueron derrotados"                                                                         
5       "Todos los jefes fueron derrotados"                                                                
6       "Blood Castle se termino"                                                                               
7       "No eres lo suficientemente fuerte para entrar en Blood Castle"                                                  
8       " %s jugador soltó un arma de ángel"
9       "%s jugador tomó el arma del ángel"
10      "%s jugador destruyó la puerta del castillo"
11       "%s jugador destruyó la estatua"                                                                    
16      "Chaos Castle cerrara en %d minuto (s)"                                                           
17      "El Chaos Castle cerro"                                                                            
18      "Chaos Castle %d Empezara en %d minuto (s)"                                                        
19      "El Chaos Castle Empezo"                                                                           
20      "El Chaos Castle se termino"                                                                           
32      "Cuenta Free"                                                                                       
33      "Cuenta VIP"                                                                                     
34      "Cuenta VIP Plata"                                                                                     
35      "Cuenta VIP oro"                                                                                       
36      "You can not use this map!"                                                                          
37      "Your bonus has been successfully added, welcome to vicius-mu!"                                                                                                   
38      "Los PK tienen PROHIBIDO hablar con NPCs"
39      "los PK no pueden moverse a otro mapa"                                                                                                   
40      "¡Tienes que deshacer la fiesta para ir al Chaos Castle!"
41      ""
42      ""
43      ""
44      ""
45      ""
46       ""
47     ""
48       ""
49     ""
50     ""
51      ""
52      ""
53     ""
54      ""
55      ""
56      ""
57       ""
58       ""
64      "No tienes permitido usar"
65      "Debes tener al menos el nivel %d para usar"
66      "Debe tener al menos %d reinicios para usar"
67     "Debe tener al menos %d zen para usar"
68     "Necesitas esperar %d segundos para usar"
69     "[msj] %s"
70     "No tiene permiso para usar agregar"
71     "Orden exclusiva del Señor Oscuro"
72       "No tienes suficientes puntos para sumar"
73       "Debes tener al menos% zen para usar /add"
74      "Agregaste %d puntos, dejando %d puntos para distribuir"
75       "No tienes permiso para usar pkclear"                                                        
76   "No eres PK"
77   "Debes tener al menos %d zen para usar pkclear"
78   "Limpiaste tu PK con éxito"
79   "No tienes permiso para usar /money"
80   "Ingresó un valor no válido para agregar"
81   "No tienes permiso para usar/change"
82   "Debes tener al menos %d zen para usar /chnage"
83   "Ya no puedes evolucionar"
84   "Has evolucionado con éxito"
85   "No tiene permiso para usar /ware"
86   "No puedes usar /ware en este momento"
87   "Ingresaste a un cofre inválido para cambiar"
88   "Cambió exitosamente al troncal %d"
89   "No tienes permiso para usar el /Reset"
90   "No puedes usar reset en este momento"
91   "Necesitas tener al menos el nivel %d para usar el /Reset"
92   "Debes tener al menos %d zen para usar reset"
93   "No puedes tener más de %d reinicios"
94   "No se puede restablecer con elementos equipados"
95   "Reinició con éxito y ahora tiene %d reinicios"
96   "No tienes permiso para usar /gmmove"
97   "Usted ingresó un objetivo no válido para /gmmove"
98   "No tienes permiso para usar /gmpost"
99   "No tienes permiso para usar la /pista"
100   "Ingresaste un objetivo no válido para /track"
101   "No tienes permiso para usar /trace"
102   "Ingresó un objetivo no válido para /trace"
103   "No tienes permiso para usar/desconectar"
104  "Ingresó un objetivo no válido para /desconectar"
105  "No tienes permiso para usar /fuegos artificiales"
106  "No tienes permitido usar/make"
107  "Usted creó con éxito el artículo"
108  "No tienes permitido usar /skin"
109  "Ingresó un objetivo no válido para /skin"
110  "No tiene permiso para usar /setmoney"
111  "Ingresó un objetivo no válido para /setmoney"
112  "Ingresó un valor no válido para /setmoney"                                                        
113  "No tienes permiso para usar /aviso"
114  "Adición automática de puntadas: Habilitado (%d)"
115  "Adición automática de puntadas: Off"
116  "Restablecimiento automático: activado"
117  "Restablecimiento automático: Desactivado"
118  "No tienes permiso para usar el reinicio maestro"
119  "No puedes usar Master NPC en este momento"
120  "Debe tener al menos %d niveles para usar el reinicio maestro"
121  "Debe tener al menos %d reinicios para usar el reinicio maestro"
122  "Debe tener al menos %d zen para usar el reinicio maestro"
123  "No puede tener más de %d reinicios maestros"
124  "No puedes dominar con elementos equipados"
125  "Tu reinicio maestro fue exitoso y ahora tienes %d maestro(s)"
126  "Recibiendo solicitudes: Activado"
127  "Recibiendo solicitudes: Desactivado"
128  "Recepción de solicitudes: Automática"
129  "Solo puede restablecer %d veces al día"
130  "Solo puede restablecer %d veces por semana"
131  "Solo puede restablecer %d veces al mes"
132  "Solo puede restablecer el maestro %d veces al día"
133  "Solo puede restablecer el maestro %d veces por semana"
