0
//Index   StartType   MonsterClass   CurrentState   NextIndex1   NextIndex2   NextIndex3   RequireIndex   RequireState   RequireMinLevel   RequireMaxLevel   RequireFamily   RequireDoW   RequireCDW   DW      DK      FE      MG      DL      SU      RF
0         1           257            0              1            *            *            *              *              1                 50                *               *            *            1       1       1       0       0       1       0
0         1           257            0              1            *            *            0              0              *                 *                 *               *            *            1       1       1       0       0       1       0
1         *           257            0              2            3            *            1              0              *                 *                 *               *            *            1       1       1       0       0       1       0
2         *           257            1              *            *            *            2              1              *                 *                 *               *            *            1       1       1       0       0       1       0
3         *           257            0              4            2            *            3              0              *                 *                 *               *            *            1       1       1       0       0       1       0
4         *           257            1              *            *            *            4              1              *                 *                 *               *            *            1       1       1       0       0       1       0
5         0           257            0              6            9            *            2              3              1                 50                *               *            *            0       0       1       0       0       0       0
5         0           257            0              6            9            *            4              3              1                 50                *               *            *            0       0       1       0       0       0       0
5         0           257            0              6            9            *            5              0              *                 *                 *               *            *            0       0       1       0       0       0       0
6         0           257            0              7            *            *            6              0              *                 *                 *               *            *            1       1       1       0       0       1       0
7         0           257            0              8            *            *            7              0              *                 *                 *               *            *            1       1       1       0       0       1       0
8         0           257            0              9            *            *            8              0              *                 *                 *               *            *            1       1       1       0       0       1       0
9         0           257            1              *            *            *            9              1              *                 *                 *               *            *            1       1       1       0       0       1       0
10        0           257            0              11           15           *            9              3              1                 50                *               *            *            1       1       1       0       0       1       0
10        0           257            0              11           15           *            10             0              *                 *                 *               *            *            1       1       1       0       0       1       0
11        0           257            0              12           13           14           11             0              *                 *                 *               *            *            1       1       1       0       0       1       0
12        0           257            0              13           14           15           12             0              *                 *                 *               *            *            1       1       1       0       0       1       0
13        0           257            0              12           14           15           13             0              *                 *                 *               *            *            1       1       1       0       0       1       0
14        0           257            0              12           13           15           14             0              *                 *                 *               *            *            1       1       1       0       0       1       0
15        0           257            1              *            *            *            15             1              *                 *                 *               *            *            1       1       1       0       0       1       0
16        0           257            0              17           *            *            15             3              1                 50                *               *            *            1       1       1       0       0       1       0
