/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 000 - Hanzo the Blacksmith
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
7	5	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Leather Helm
7	0	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Bronze Helm
7	8	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Brass Helm
1	7	0	0	1	1	0	0	0	0	0	255	255	255	255	255	//Larkan Axe
8	5	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Leather Armor
8	0	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Bronze Armor
8	8	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Brass Armor
3	2	0	0	1	1	0	0	0	0	0	255	255	255	255	255	//Dragon Lance
9	0	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Bronze Pants
9	8	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Brass Pants
9	5	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Leather Pants
10	0	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Bronze Gloves
10	8	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Brass Gloves
10	5	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Leather Gloves
0	3	0	0	1	1	0	0	0	0	0	255	255	255	255	255	//Katana
0	5	0	0	1	1	0	0	0	0	0	255	255	255	255	255	//Blade
11	0	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Bronze Boots
11	8	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Brass Boots
11	5	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Leather Boots
end
