/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 002 - Pasi the Wizard
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
7	2	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Pad Helm
7	4	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Bone Helm
7	7	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Sphinx Mask
5	1	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Angelic Staff
8	2	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Pad Armor
8	4	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Bone Armor
8	7	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Sphinx Armor
5	4	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Gorgon Staff
9	2	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Pad Pants
9	4	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Bone Pants
9	7	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Sphinx Pants
10	2	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Pad Gloves
10	4	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Bone Gloves
10	7	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Sphinx Gloves
5	2	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Serpent Staff
11	2	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Pad Boots
11	4	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Bone Boots
11	7	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Sphinx Boots
15	0	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Poison
15	1	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Meteorite
15	3	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Fire Ball
end
