/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 005 - Amy the Potion Girl
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
14	0	0	100	0	0	0	0	0	0	0	255	255	255	255	255	//Apple
14	0	0	225	0	0	0	0	0	0	0	255	255	255	255	255	//Apple
14	1	0	100	0	0	0	0	0	0	0	255	255	255	255	255	//Small Healing Potion
14	1	0	225	0	0	0	0	0	0	0	255	255	255	255	255	//Small Healing Potion
14	2	0	100	0	0	0	0	0	0	0	255	255	255	255	255	//Healing Potion
14	2	0	225	0	0	0	0	0	0	0	255	255	255	255	255	//Healing Potion
14	3	0	100	0	0	0	0	0	0	0	255	255	255	255	255	//Large Healing Potion
14	3	0	225	0	0	0	0	0	0	0	255	255	255	255	255	//Large Healing Potion
14	8	0	100	0	0	0	0	0	0	0	255	255	255	255	255	//Antidote
14	8	0	225	0	0	0	0	0	0	0	255	255	255	255	255	//Antidote
14	4	0	100	0	0	0	0	0	0	0	255	255	255	255	255	//Small Mana Potion
14	4	0	225	0	0	0	0	0	0	0	255	255	255	255	255	//Small Mana Potion
14	5	0	100	0	0	0	0	0	0	0	255	255	255	255	255	//Mana Potion
14	5	0	225	0	0	0	0	0	0	0	255	255	255	255	255	//Mana Potion
14	6	0	100	0	0	0	0	0	0	0	255	255	255	255	255	//Large Mana Potion
14	6	0	225	0	0	0	0	0	0	0	255	255	255	255	255	//Large Mana Potion
14	9	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Ale
14	9	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Ale
14	10	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Town Portal Scroll
14	10	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Town Portal Scroll
13	29	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Armor of Guardsman
4	7	3	0	0	0	0	0	0	0	0	255	255	255	255	255	//Bolt
4	15	3	0	0	0	0	0	0	0	0	255	255	255	255	255	//Arrow
13	0	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Guardian Angel



end
