/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 008 - Zienna the Weapon Merchant
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
0	10	0	0	1	1	0	0	0	0	0	255	255	255	255	255	//Light Saber
4	5	0	0	1	1	0	0	0	0	0	255	255	255	255	255	//Silver Bow
5	5	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Legendary Staff
5	16	0	0	1	1	0	0	0	0	0	255	255	255	255	255	//Red Wing Stick
0	32	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Sacred Glove
0	32	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Sacred Glove
0	11	0	0	1	1	0	0	0	0	0	255	255	255	255	255	//Legendary Sword
4	12	0	0	1	1	0	0	0	0	0	255	255	255	255	255	//Serpent Crossbow
6	2	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Kite Shield
6	3	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Elven Shield
6	4	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Buckler
6	8	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Tower Shield
end
