/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 009 - Eo the Craftsman
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
7	10	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Vine Helm
7	11	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Silk Helm
7	12	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Wind Helm
4	1	0	0	1	1	0	0	0	0	0	255	255	255	255	255	//Bow
8	10	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Vine Armor
8	11	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Silk Armor
8	12	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Wind Armor
4	2	0	0	1	1	0	0	0	0	0	255	255	255	255	255	//Elven Bow
9	10	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Vine Pants
9	11	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Silk Pants
9	12	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Wind Pants
10	10	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Vine Gloves
10	11	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Silk Gloves
10	12	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Wind Gloves
4	9	0	0	1	1	0	0	0	0	0	255	255	255	255	255	//Golden Crossbow
11	10	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Vine Boots
11	11	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Silk Boots
11	12	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Wind Boots
4	11	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Light Crossbow
4	15	2	0	0	1	0	0	0	0	0	255	255	255	255	255	//Arrow
4	7	2	0	0	1	0	0	0	0	0	255	255	255	255	255	//Bolt
end
