09:00:56 [HackPacketCheck][xXManiacXx][Maniac] Packet count error (Index: 24, Value: -1, Count: [11][15])
09:00:56 [HackPacketCheck][xXManiacXx][Maniac] Packet count error (Index: 24, Value: -1, Count: [12][15])
09:00:56 [HackPacketCheck][xXManiacXx][Maniac] Packet count error (Index: 24, Value: -1, Count: [13][15])
09:00:56 [HackPacketCheck][xXManiacXx][Maniac] Packet count error (Index: 24, Value: -1, Count: [14][15])
09:01:21 [HackPacketCheck][xXManiacXx][Maniac] Packet count error (Index: 24, Value: -1, Count: [11][15])
09:01:21 [HackPacketCheck][xXManiacXx][Maniac] Packet count error (Index: 24, Value: -1, Count: [12][15])
09:01:22 [HackPacketCheck][xXManiacXx][Maniac] Packet count error (Index: 24, Value: -1, Count: [13][15])
15:53:00 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [11][15])
15:53:00 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [12][15])
15:53:00 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [13][15])
15:53:00 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [14][15])
15:53:00 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [15][15])
15:53:00 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [16][15])
16:42:58 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [11][15])
16:42:58 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [12][15])
16:42:58 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [13][15])
16:42:58 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [14][15])
16:42:58 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [15][15])
16:44:37 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [11][15])
16:52:55 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [11][15])
16:54:20 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [11][15])
16:54:21 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [12][15])
17:00:12 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [11][15])
17:00:12 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [12][15])
17:00:12 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [13][15])
17:00:12 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [14][15])
17:00:12 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [15][15])
17:00:12 [HackPacketCheck][92nato2][Ricardo4] Packet count error (Index: 24, Value: -1, Count: [16][15])
