07:59:05 [ExchangeTradeItem][92nato][Zyra420] - (Account: yincox, Name: Minerva, Index: 2048, Level: 00, Serial: 00000000, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
07:59:05 [ExchangeTradeItem][92nato][Zyra420] - (Account: yincox, Name: Minerva, Index: 3586, Level: 07, Serial: 00003DE4, Option1: 0, Option2: 0, Option3: 4, NewOption: 030, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:00:10 [ExchangeTradeItem][yincox][Minerva] - (Account: 92nato, Name: Zyra420, Index: 3586, Level: 07, Serial: 00003DE4, Option1: 0, Option2: 0, Option3: 4, NewOption: 030, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:00:51 [ExchangeTradeItem][92nato][Zyra420] - (Account: yincox, Name: Minerva, Index: 3586, Level: 07, Serial: 00003DE4, Option1: 0, Option2: 0, Option3: 4, NewOption: 030, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:01:17 [ExchangeTradeItem][92nato][Zyra420] - (Account: yincox, Name: Minerva, Index: 7190, Level: 00, Serial: 000035CE, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:01:17 [ExchangeTradeItem][92nato][Zyra420] - (Account: yincox, Name: Minerva, Index: 7190, Level: 00, Serial: 000035CF, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:01:17 [ExchangeTradeItem][yincox][Minerva] - (Account: 92nato, Name: Zyra420, Index: 3586, Level: 07, Serial: 00003DE4, Option1: 0, Option2: 0, Option3: 4, NewOption: 030, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:01:57 [ExchangeTradeItem][yincox][Minerva] - (Account: 92nato, Name: Zyra420, Index: 7190, Level: 00, Serial: 000035CF, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:01:57 [ExchangeTradeItem][92nato][Zyra420] - (Account: yincox, Name: Minerva, Index: 3586, Level: 07, Serial: 00003DE4, Option1: 0, Option2: 0, Option3: 4, NewOption: 030, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:02:09 [ExchangeTradeItem][yincox][Minerva] - (Account: 92nato, Name: Zyra420, Index: 2048, Level: 00, Serial: 00000000, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:02:09 [ExchangeTradeItem][yincox][Minerva] - (Account: 92nato, Name: Zyra420, Index: 3586, Level: 07, Serial: 00003DE4, Option1: 0, Option2: 0, Option3: 4, NewOption: 030, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
