08:39:20 [ExchangeTradeItem][javier89][Meilin] - (Account: yashiro, Name: SujiCold, Index: 2070, Level: 00, Serial: 000454D0, Option1: 1, Option2: 1, Option3: 1, NewOption: 016, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:39:20 [ExchangeTradeItem][javier89][Meilin] - (Account: yashiro, Name: SujiCold, Index: 5646, Level: 00, Serial: 0004A16F, Option1: 0, Option2: 1, Option3: 1, NewOption: 002, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:39:20 [ExchangeTradeItem][javier89][Meilin] - (Account: yashiro, Name: SujiCold, Index: 4110, Level: 00, Serial: 0002F0A6, Option1: 0, Option2: 1, Option3: 1, NewOption: 004, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:39:20 [ExchangeTradeItem][javier89][Meilin] - (Account: yashiro, Name: SujiCold, Index: 2049, Level: 00, Serial: 00000000, Option1: 1, Option2: 1, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:39:20 [ExchangeTradeItem][javier89][Meilin] - (Account: yashiro, Name: SujiCold, Index: 3598, Level: 00, Serial: 0004884F, Option1: 0, Option2: 1, Option3: 1, NewOption: 008, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:39:20 [ExchangeTradeItem][javier89][Meilin] - (Account: yashiro, Name: SujiCold, Index: 5134, Level: 00, Serial: 000454CC, Option1: 0, Option2: 1, Option3: 1, NewOption: 008, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:39:20 [ExchangeTradeItem][javier89][Meilin] - (Account: yashiro, Name: SujiCold, Index: 7255, Level: 00, Serial: 0003A34A, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:39:20 [ExchangeTradeItem][javier89][Meilin] - (Account: yashiro, Name: SujiCold, Index: 6189, Level: 00, Serial: 0000DFAF, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:41:27 [ExchangeTradeItem][javier89][Meilin] - (Account: salchipapa, Name: yashiroBK, Index: 0019, Level: 00, Serial: 0000E474, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:41:27 [ExchangeTradeItem][javier89][Meilin] - (Account: salchipapa, Name: yashiroBK, Index: 0019, Level: 02, Serial: 0002F230, Option1: 1, Option2: 1, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
08:41:27 [ExchangeTradeItem][javier89][Meilin] - (Account: salchipapa, Name: yashiroBK, Index: 4609, Level: 00, Serial: 0004557C, Option1: 0, Option2: 0, Option3: 0, NewOption: 001, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
