13:41:43 [ExchangeTradeItem][carolina][Meylin] - (Account: javier89, Name: Meilin, Index: 7181, Level: 00, Serial: 0003B97F, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
13:41:43 [ExchangeTradeItem][carolina][Meylin] - (Account: javier89, Name: Meilin, Index: 7181, Level: 00, Serial: 0003B988, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
13:41:43 [ExchangeTradeItem][carolina][Meylin] - (Account: javier89, Name: Meilin, Index: 7182, Level: 00, Serial: 0003B993, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
13:41:43 [ExchangeTradeItem][carolina][Meylin] - (Account: javier89, Name: Meilin, Index: 7184, Level: 00, Serial: 0003B98F, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
13:41:43 [ExchangeTradeItem][carolina][Meylin] - (Account: javier89, Name: Meilin, Index: 7182, Level: 00, Serial: 0003B989, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
13:41:43 [ExchangeTradeItem][carolina][Meylin] - (Account: javier89, Name: Meilin, Index: 7254, Level: 00, Serial: 0003B96F, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
13:41:43 [ExchangeTradeItem][carolina][Meylin] - (Account: javier89, Name: Meilin, Index: 7238, Level: 00, Serial: 0003B965, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
13:41:43 [ExchangeTradeItem][carolina][Meylin] - (Account: javier89, Name: Meilin, Index: 7182, Level: 00, Serial: 0003B979, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
13:41:43 [ExchangeTradeItem][carolina][Meylin] - (Account: javier89, Name: Meilin, Index: 7181, Level: 00, Serial: 0003B97A, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
13:41:43 [ExchangeTradeItem][carolina][Meylin] - (Account: javier89, Name: Meilin, Index: 7181, Level: 00, Serial: 0003B985, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
13:41:43 [ExchangeTradeItem][carolina][Meylin] - (Account: javier89, Name: Meilin, Index: 7255, Level: 00, Serial: 0003B964, Option1: 0, Option2: 0, Option3: 0, NewOption: 000, JewelOfHarmonyOption: 000, ItemOptionEx: 000, SocketOption: 255, 255, 255, 255, 255)
