00:52:00 [AccountInfo] Account disconnected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
00:52:08 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
02:04:38 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
02:05:57 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
02:06:38 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
03:28:20 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
03:29:01 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
03:29:45 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
03:33:36 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
03:35:35 [AccountInfo] Account connected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
03:37:49 [AccountInfo] Account connected (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
04:06:44 [AccountInfo] Account disconnected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
04:06:55 [AccountInfo] Account disconnected (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
04:11:59 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
08:11:48 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
08:13:46 [AccountInfo] Account connected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
08:16:11 [AccountInfo] Account connected (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
11:46:57 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
12:49:58 [AccountInfo] Account disconnected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
12:49:59 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
12:50:00 [AccountInfo] Account disconnected (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
13:52:53 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
14:08:54 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
14:09:27 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
15:19:27 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
15:37:44 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
15:39:01 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
15:43:42 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
18:04:16 [AccountInfo] Account disconnected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
18:04:45 [AccountInfo] Account disconnected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
18:04:55 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
18:04:57 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
18:36:22 [AccountInfo] Account disconnected (Account: frank1, IpAddress: 181.65.209.59, GameServerCode: 0)
18:36:24 [AccountInfo] Account connected (Account: frank1, IpAddress: 181.65.209.59, GameServerCode: 0)
19:06:26 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
20:14:12 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
20:15:12 [AccountInfo] Account connected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
20:17:22 [AccountInfo] Account connected (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
