02:01:12 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
02:01:53 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
02:03:45 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
02:03:51 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
02:04:27 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
02:08:37 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
02:09:15 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
02:10:42 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
02:10:47 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
02:11:50 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
02:22:50 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
02:22:58 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
02:53:30 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
02:56:06 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
03:00:47 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
11:03:24 [AccountInfo] Account connected (Account: 92nato, IpAddress: 186.143.163.102, GameServerCode: 0)
11:32:17 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
11:40:33 [AccountInfo] Account connected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
11:43:08 [AccountInfo] Account connected (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
11:54:00 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 186.143.163.102, GameServerCode: 0)
11:54:52 [AccountInfo] Account connected (Account: 92nato, IpAddress: 186.143.166.141, GameServerCode: 0)
13:29:38 [AccountInfo] Account disconnected by clear (Account: 92nato, IpAddress: 186.143.166.141, GameServerCode: 0)
13:29:38 [AccountInfo] Account disconnected by clear (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
13:29:38 [AccountInfo] Account disconnected by clear (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
13:29:38 [AccountInfo] Account disconnected by clear (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
13:29:38 [AccountInfo] Account disconnected by clear (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
13:29:38 [AccountInfo] Account disconnected by clear (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
13:29:38 [AccountInfo] Account disconnected by clear (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
13:30:18 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
13:30:18 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
13:30:18 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
13:30:18 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
13:30:18 [AccountInfo] Account connected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
