03:33:10 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
03:37:17 [AccountInfo] Account connected (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
05:31:14 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
05:31:15 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
05:31:52 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
05:31:56 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
05:33:20 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
05:34:01 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
08:02:31 [AccountInfo] Account disconnected (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
08:02:33 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
08:03:46 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
08:04:12 [AccountInfo] Account connected (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
12:25:21 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
12:25:23 [AccountInfo] Account disconnected (Account: yincoxx, IpAddress: 45.171.224.166, GameServerCode: 0)
13:13:04 [AccountInfo] Account connected (Account: yinco, IpAddress: 186.12.60.22, GameServerCode: 0)
13:57:05 [AccountInfo] Account connected (Account: yincox, IpAddress: 186.12.60.22, GameServerCode: 0)
14:51:18 [AccountInfo] Account disconnected by clear (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
14:51:18 [AccountInfo] Account disconnected by clear (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
14:51:18 [AccountInfo] Account disconnected by clear (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
14:51:18 [AccountInfo] Account disconnected by clear (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
14:51:18 [AccountInfo] Account disconnected by clear (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
14:51:18 [AccountInfo] Account disconnected by clear (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
14:51:18 [AccountInfo] Account disconnected by clear (Account: yinco, IpAddress: 186.12.60.22, GameServerCode: 0)
14:51:18 [AccountInfo] Account disconnected by clear (Account: yincox, IpAddress: 186.12.60.22, GameServerCode: 0)
14:52:00 [AccountInfo] Account connected (Account: yinco, IpAddress: 186.12.60.22, GameServerCode: 0)
14:52:02 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
14:52:02 [AccountInfo] Account connected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
14:52:02 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
14:52:02 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
14:52:32 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
15:04:35 [AccountInfo] Account connected (Account: yincox, IpAddress: 186.12.60.22, GameServerCode: 0)
15:07:18 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
15:07:39 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
15:18:52 [AccountInfo] Account disconnected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
15:18:59 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
15:46:24 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
15:52:19 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
17:02:57 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
17:06:27 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
18:18:20 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 186.12.60.22, GameServerCode: 0)
18:18:21 [AccountInfo] Account disconnected (Account: yincox, IpAddress: 186.12.60.22, GameServerCode: 0)
