04:31:20 [AccountInfo] Account disconnected by clear (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
04:31:20 [AccountInfo] Account disconnected by clear (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
04:31:20 [AccountInfo] Account disconnected by clear (Account: alberto107, IpAddress: 186.39.207.170, GameServerCode: 0)
04:31:20 [AccountInfo] Account disconnected by clear (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
04:31:20 [AccountInfo] Account disconnected by clear (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
04:31:20 [AccountInfo] Account disconnected by clear (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
04:31:20 [AccountInfo] Account disconnected by clear (Account: erika107, IpAddress: 186.39.207.170, GameServerCode: 0)
04:31:20 [AccountInfo] Account disconnected by clear (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
04:31:20 [AccountInfo] Account disconnected by clear (Account: xXManiacXx, IpAddress: 181.191.143.9, GameServerCode: 0)
04:31:20 [AccountInfo] Account disconnected by clear (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
04:31:20 [AccountInfo] Account disconnected by clear (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
04:32:31 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
04:32:31 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
04:32:31 [AccountInfo] Account connected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
04:32:33 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
04:32:33 [AccountInfo] Account connected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
04:32:34 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.207.170, GameServerCode: 0)
04:32:35 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
04:32:35 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
04:32:35 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
04:32:35 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.207.170, GameServerCode: 0)
08:38:34 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.9, GameServerCode: 0)
10:47:41 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
13:46:56 [AccountInfo] Account disconnected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
15:16:28 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
15:17:40 [AccountInfo] Account disconnected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
15:18:45 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
18:35:33 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
18:37:59 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
21:34:09 [AccountInfo] Account disconnected (Account: alberto107, IpAddress: 186.39.207.170, GameServerCode: 0)
21:34:10 [AccountInfo] Account disconnected (Account: erika107, IpAddress: 186.39.207.170, GameServerCode: 0)
21:36:22 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.206.33, GameServerCode: 0)
21:36:22 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.206.33, GameServerCode: 0)
23:15:09 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.9, GameServerCode: 0)
