00:01:28 [AccountInfo] Account disconnected (Account: erika107, IpAddress: 186.39.206.33, GameServerCode: 0)
00:01:28 [AccountInfo] Account disconnected (Account: alberto107, IpAddress: 186.39.206.33, GameServerCode: 0)
08:03:09 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
08:04:00 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
09:42:47 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
10:15:23 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.206.33, GameServerCode: 0)
10:16:31 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.206.33, GameServerCode: 0)
11:19:24 [AccountInfo] Account disconnected by clear (Account: alberto107, IpAddress: 186.39.206.33, GameServerCode: 0)
11:19:25 [AccountInfo] Account disconnected by clear (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
11:19:25 [AccountInfo] Account disconnected by clear (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
11:19:25 [AccountInfo] Account disconnected by clear (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
11:19:25 [AccountInfo] Account disconnected by clear (Account: erika107, IpAddress: 186.39.206.33, GameServerCode: 0)
11:19:25 [AccountInfo] Account disconnected by clear (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
11:19:25 [AccountInfo] Account disconnected by clear (Account: xXManiacXx, IpAddress: 181.191.143.9, GameServerCode: 0)
11:20:36 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
11:20:36 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
11:20:37 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.9, GameServerCode: 0)
11:20:38 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.206.33, GameServerCode: 0)
11:20:39 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.206.33, GameServerCode: 0)
11:20:39 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
11:20:40 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
11:34:45 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
15:32:37 [AccountInfo] Account disconnected (Account: erika107, IpAddress: 186.39.206.33, GameServerCode: 0)
15:33:14 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.206.33, GameServerCode: 0)
15:33:22 [AccountInfo] Account disconnected (Account: erika107, IpAddress: 186.39.206.33, GameServerCode: 0)
15:34:01 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.206.33, GameServerCode: 0)
15:59:04 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
17:05:53 [AccountInfo] Account connected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
17:12:25 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.9, GameServerCode: 0)
17:13:07 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.9, GameServerCode: 0)
18:29:20 [AccountInfo] Account connected (Account: sislive, IpAddress: 201.190.251.252, GameServerCode: 0)
18:37:05 [AccountInfo] Account disconnected (Account: sislive, IpAddress: 201.190.251.252, GameServerCode: 0)
18:37:14 [AccountInfo] Account connected (Account: sislive1, IpAddress: 201.190.251.252, GameServerCode: 0)
19:06:15 [AccountInfo] Account disconnected (Account: sislive1, IpAddress: 201.190.251.252, GameServerCode: 0)
19:12:21 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.9, GameServerCode: 0)
19:13:36 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.9, GameServerCode: 0)
19:17:20 [AccountInfo] Account connected (Account: sislive1, IpAddress: 201.190.251.252, GameServerCode: 0)
19:26:07 [AccountInfo] Account disconnected (Account: sislive1, IpAddress: 201.190.251.252, GameServerCode: 0)
20:43:00 [AccountInfo] Account connected (Account: yinco, IpAddress: 200.5.101.170, GameServerCode: 0)
20:54:13 [AccountInfo] Account disconnected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
20:54:16 [AccountInfo] Account disconnected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
21:18:17 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 200.5.101.170, GameServerCode: 0)
21:20:37 [AccountInfo] Account connected (Account: yinco, IpAddress: 200.5.101.170, GameServerCode: 0)
21:53:13 [AccountInfo] Account connected (Account: yincox, IpAddress: 200.5.101.170, GameServerCode: 0)
21:54:24 [AccountInfo] Account disconnected by proc (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
21:56:05 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
22:42:09 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 200.5.101.170, GameServerCode: 19)
22:42:09 [AccountInfo] Account disconnected (Account: yincox, IpAddress: 200.5.101.170, GameServerCode: 19)
23:19:30 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.9, GameServerCode: 0)
23:20:35 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.9, GameServerCode: 0)
