06:08:26 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
08:06:16 [AccountInfo] Account connected (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
08:08:07 [AccountInfo] Account disconnected (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
08:08:14 [AccountInfo] Account connected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
08:34:35 [AccountInfo] Account connected (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
09:21:03 [AccountInfo] Account disconnected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
09:22:31 [AccountInfo] Account connected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
09:22:40 [AccountInfo] Account disconnected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
09:23:39 [AccountInfo] Account connected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
09:38:01 [AccountInfo] Account connected (Account: dangerous7, IpAddress: 181.225.27.53, GameServerCode: 0)
09:41:13 [AccountInfo] Account connected (Account: dangerous8, IpAddress: 181.225.27.53, GameServerCode: 0)
11:58:45 [AccountInfo] Account disconnected (Account: dangerous8, IpAddress: 181.225.27.53, GameServerCode: 0)
11:58:45 [AccountInfo] Account disconnected (Account: dangerous7, IpAddress: 181.225.27.53, GameServerCode: 0)
11:59:49 [AccountInfo] Account connected (Account: dangerous8, IpAddress: 181.225.27.53, GameServerCode: 0)
11:59:52 [AccountInfo] Account connected (Account: dangerous7, IpAddress: 181.225.27.53, GameServerCode: 0)
12:45:15 [AccountInfo] Account disconnected (Account: dangerous7, IpAddress: 181.225.27.53, GameServerCode: 0)
12:45:15 [AccountInfo] Account disconnected (Account: dangerous8, IpAddress: 181.225.27.53, GameServerCode: 0)
12:46:21 [AccountInfo] Account connected (Account: dangerous7, IpAddress: 181.225.27.53, GameServerCode: 0)
12:46:25 [AccountInfo] Account connected (Account: dangerous8, IpAddress: 181.225.27.53, GameServerCode: 0)
12:48:58 [AccountInfo] Account disconnected (Account: dangerous7, IpAddress: 181.225.27.53, GameServerCode: 0)
12:52:09 [AccountInfo] Account connected (Account: dangerous7, IpAddress: 181.225.27.53, GameServerCode: 0)
15:24:39 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
17:18:40 [AccountInfo] Account disconnected (Account: dangerous8, IpAddress: 181.225.27.53, GameServerCode: 0)
17:18:40 [AccountInfo] Account disconnected (Account: dangerous7, IpAddress: 181.225.27.53, GameServerCode: 0)
17:19:52 [AccountInfo] Account connected (Account: dangerous7, IpAddress: 181.225.27.53, GameServerCode: 0)
17:20:18 [AccountInfo] Account connected (Account: dangerous8, IpAddress: 181.225.27.53, GameServerCode: 0)
17:32:58 [AccountInfo] Account disconnected (Account: dangerous8, IpAddress: 181.225.27.53, GameServerCode: 0)
17:46:55 [AccountInfo] Account disconnected (Account: dangerous7, IpAddress: 181.225.27.53, GameServerCode: 0)
18:44:34 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
18:48:42 [AccountInfo] Account connected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
18:51:22 [AccountInfo] Account connected (Account: 92nato4, IpAddress: 200.5.101.170, GameServerCode: 0)
21:55:51 [AccountInfo] Account disconnected (Account: 92nato4, IpAddress: 200.5.101.170, GameServerCode: 0)
23:27:05 [AccountInfo] Account disconnected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
23:27:05 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
23:27:05 [AccountInfo] Account disconnected (Account: braian92, IpAddress: 190.17.22.8, GameServerCode: 0)
