01:58:33 [AccountInfo] Account disconnected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
01:58:38 [AccountInfo] Account disconnected (Account: braian92, IpAddress: 190.17.22.8, GameServerCode: 0)
02:02:38 [AccountInfo] Account connected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
02:03:20 [AccountInfo] Account connected (Account: braian92, IpAddress: 190.17.22.8, GameServerCode: 0)
03:35:42 [AccountInfo] Account connected (Account: all950, IpAddress: 186.128.3.18, GameServerCode: 0)
09:44:38 [AccountInfo] Account disconnected (Account: all950, IpAddress: 186.128.3.18, GameServerCode: 0)
10:50:18 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
12:14:02 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
12:21:02 [AccountInfo] Account disconnected (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:21:41 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:26:17 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
14:57:50 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
15:07:12 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
18:02:48 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
