03:20:15 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
05:05:28 [AccountInfo] Account connected (Account: all950, IpAddress: 186.128.3.18, GameServerCode: 0)
06:32:06 [AccountInfo] Account disconnected (Account: all950, IpAddress: 186.128.3.18, GameServerCode: 0)
06:32:46 [AccountInfo] Account connected (Account: all950, IpAddress: 186.128.102.197, GameServerCode: 0)
06:41:46 [AccountInfo] Account disconnected (Account: all950, IpAddress: 186.128.102.197, GameServerCode: 0)
09:20:13 [AccountInfo] Account disconnected (Account: 92nato4, IpAddress: 200.5.101.170, GameServerCode: 0)
09:22:57 [AccountInfo] Account connected (Account: 92nato4, IpAddress: 200.5.101.170, GameServerCode: 0)
09:23:33 [AccountInfo] Account disconnected (Account: 92nato4, IpAddress: 200.5.101.170, GameServerCode: 0)
11:03:50 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
11:05:09 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
11:05:57 [AccountInfo] Account connected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
11:06:47 [AccountInfo] Account connected (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
11:07:43 [AccountInfo] Account connected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
11:32:37 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
11:34:04 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
14:29:04 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
14:31:24 [AccountInfo] Account disconnected (Account: ciro107, IpAddress: 186.39.203.82, GameServerCode: 0)
14:31:27 [AccountInfo] Account disconnected (Account: erika107, IpAddress: 186.39.203.82, GameServerCode: 0)
14:32:04 [AccountInfo] Account connected (Account: ciro107, IpAddress: 186.39.203.82, GameServerCode: 0)
14:32:07 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.203.82, GameServerCode: 0)
14:46:47 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
15:10:46 [AccountInfo] Account connected (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
16:41:44 [AccountInfo] Account disconnected (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
16:47:51 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
18:00:18 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
18:17:37 [AccountInfo] Account disconnected (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
18:17:44 [AccountInfo] Account disconnected (Account: erika107, IpAddress: 186.39.203.82, GameServerCode: 0)
18:17:44 [AccountInfo] Account disconnected (Account: ciro107, IpAddress: 186.39.203.82, GameServerCode: 0)
18:17:45 [AccountInfo] Account disconnected (Account: belen107, IpAddress: 186.39.203.82, GameServerCode: 0)
18:18:08 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.205.30, GameServerCode: 0)
18:18:09 [AccountInfo] Account connected (Account: belen107, IpAddress: 186.39.205.30, GameServerCode: 0)
18:18:09 [AccountInfo] Account connected (Account: ciro107, IpAddress: 186.39.205.30, GameServerCode: 0)
18:18:10 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.205.30, GameServerCode: 0)
19:29:46 [AccountInfo] Account disconnected by proc (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 19)
19:29:54 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
20:42:06 [AccountInfo] Account disconnected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
