04:32:43 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
04:35:57 [AccountInfo] Account disconnected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
04:36:18 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
05:14:27 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
05:43:01 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
06:08:06 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
06:15:43 [AccountInfo] Account disconnected (Account: franqitoo, IpAddress: 186.22.19.90, GameServerCode: 0)
09:12:17 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
11:02:51 [AccountInfo] Account disconnected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
11:02:52 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
11:03:32 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
11:03:33 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
12:13:18 [AccountInfo] Account disconnected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
15:31:16 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
