//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	100	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Panda Ring (1 UN)
1010	1010	100	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Pet Panda (1 UN)
1020	1020	100	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Pet Unicorn (1 UN)
1030	1030	100	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Pet Skeleton (1 UN)
1040	1040	100	6693	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Horn of Fenrir (1 UN)
1050	1050	100	6695	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Eilte Transfer Skeleton Ring (1 UN)
1060	1060	100	7221	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Talisman of Luck (1 UN)
1070	1070	100	7264	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Talisman of Chaos Assembly (1 UN)
1080	1080	100	7265	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Scroll of Battle (1 UN)
1090	1090	100	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Scroll of Quickness (1 UN)
1100	1100	100	7241	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Scroll of Defense (1 UN)
1110	1110	100	7242	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Scroll of Wrath (1 UN)
1120	1120	100	7243	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Scroll of Wizardry (1 UN)
1130	1130	100	7244	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Scroll of Health (1 UN)
1140	1140	100	7245	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Scroll of Mana (1 UN)
1150	1150	100	7246	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Elixir of Strength (1 UN)
1160	1160	100	7247	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Elixir of Agility (1 UN)
1170	1170	100	7248	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Elixir of Health (1 UN)
1180	1180	100	7249	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Elixir of Energy (1 UN)
1190	1190	100	7250	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Elixir of Control (1 UN)
1200	1200	100	7266	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Scroll of Strength (1 UN)
1210	1210	100	7308	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Scroll of Healing (1 UN)
1220	1220	100	6702	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Devil Square Ticket (1 UN)
1230	1230	100	6703	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Blood Castle Ticket (1 UN)
1240	1240	100	6704	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Kalima Ticket (1 UN)
1250	1250	100	6705	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Old Scroll (1 UN)
end
