//------------------------------------------------------------------------------
// Custom Bows & Crossbows config file
//------------------------------------------------------------------------------
// Effects: 
//	266
//	267
//	268
//	269
//	270
//	271
//	272
//	273
//	274
//	294
//	295
//	296
//	297
//	298
//	321
//	324
//	365
//	509
// -----------------------------------------------------------------------------
// Type:
// 0 -> Bows
// 1 -> Crossbows
// -----------------------------------------------------------------------------
// ItemIndex	Type  EffecID	ColorR	ColorG	ColorB	ModelName
//------------------------------------------------------------------------------
    2073        0     268       123     229     92      "bow25"
    2074        1     294       127     127     127     "Crossbow26"
    2076		0     270		255		78		56 		"bloodangel_bow"
    2078		1     324		255		178		63		"absolute_gunbow"
    2079		0     295		255     226     115		"Darkangel_Bow"
    2080		0     296		190		142		69 		"HolyAngelBow"
    2081		0     297		219		83		0 		"hs_soularcherbow_s"
    2082		0     298		122     139     168 	"blue_eyebow_stand"
    2083		0     321		078     016     166 	"mastery_bow6_stand"
end
