//Item   Effect   EffectValue   EffectLevel   ColorR   ColorG   ColorB  EffectType     EffectSize   ColorSide

//Horn of Steal
1044 	32395 	    9  				    0 0.25 0.25 0.25 0.0 0.0 0.0
1044 	32395 	    10 				    0 0.25 0.25 0.25 0.0 0.0 0.0
1044 	32395 	    11 				    0 0.25 0.25 0.25 0.0 0.0 0.0
1044 	32395 	    12 				    0 0.25 0.25 0.25 0.0 0.0 0.0
1044 	32395 	    13 				    0 0.25 0.25 0.25 0.0 0.0 0.0
1044 	32395 	    14 				    0 0.25 0.25 0.25 0.0 0.0 0.0

111	    32395       1                   0           1.0		0.1		0.0		0.0		0.1		-10.4
111	    32395       2                   0           1.0		0.1		0.0		0.0		0.1		-10.4
111		32389    	1		 	        0 			1.00 	0.29 	0.19 	0.0 	0.0 	 0.4
111		32389    	2		 	        0 			1.00 	0.29 	0.19 	0.0 	0.0 	 0.4
111     32119   	1 		            0 			0.98 	0.17 	0.17 	1.0    -0.5      0.2
111     32119   	2 		            0 			0.98 	0.17 	0.17 	1.0    -0.5      0.2


//Magmus Peer
1548 32389 2 0 1.00 0.18 0.00 0.0 0.0 0.5
1548 32389 4 0 1.00 0.18 0.00 0.0 0.0 0.5
1548 32389 7 0 1.00 0.18 0.00 0.0 0.0 0.5

//Spite Staff
2597 32392 3 0 1.00 1.00 1.00 0.0 0.0 0.5

//Angelic Bow
2073 32119 13 0 0.50 0.87 0.40 0.0 -0.5 0.2

//Thunderbolt
1043 32119 7 0 0.20 0.46 0.90 1.0 -0.5 1.0

//Blessed Staff
2609 32074 8 0 0.00 0.38 1.00 2.0 0.0 -0.2

//HolyAngel Staff
2612 32074 8 0 0.00 0.38 1.00 2.0 0.0 -0.2

//Darkangel Staff
2611 32119 9 0 1.00 0.33 0.94 1.0 -0.5 0.2

//Darkangel Scepter
1050 32395 21 0 0.64 0.26 1.00 0.0 0.0 0.0

//Bloodangel Staff
2601 32389 1 0 1.00 0.29 0.19 0.0 0.0 0.4
2601 32395 1 0 1.00 0.29 0.19 0.0 9.0 0.1

//Bloodangel Sword
42 32389 3 0 1.00 0.29 0.19 0.0 0.0 0.4

//Bloodangel Magic Sword
44 32389 7 0 1.00 0.29 0.19 0.0 0.0 0.4

//Bloodangel Scpeter
1046 32389 2 0 1.00 0.29 0.19 0.0 0.0 0.4

//Bloodangel Bow
2076 32389 37 0 1.00 0.29 0.19 0.0 0.0 0.4

//Blessed Scepter
1049 32395 24 0 0.35 0.34 1.00 0.0 0.0 10.4
1049 32395 25 0 0.35 0.34 1.00 0.0 0.0 10.4
1049 32395 40 0 0.35 0.34 1.00 0.0 0.0 10.4


//HolyAngel Stick
2614 32074 3 0 0.00 0.38 1.00 2.0 0.0 -0.3
2614 32074 4 0 0.00 0.38 1.00 2.0 0.0 -0.3
2614 32074 5 0 0.00 0.38 1.00 2.0 0.0 -0.3
2614 32074 6 0 0.00 0.38 1.00 2.0 0.0 -0.3

//Blessed Stick
2610 32113 17 0 1.00 1.00 1.00 5.0 -0.5 0.7

// Wings of Conqueror
 6428 32260 14 0 1 0.5 0.0 3 0 0
 6428 32260 37 0 1 0.5 0.0 3 0 0
 6428 32260 50 0 1 0.5 0.0 3 0 0
 6428 32260 57 0 1 0.5 0.0 3 0 0
 6428 32290 47 0 1 0.5 0.0 7 0 0
 6428 32290 24 0 1 0.5 0.0 7 0 0
 6428 32290 11 0 1 0.5 0.0 7 0 0
 6428 32290 34 0 1 0.5 0.0 7 0 0
 6428 32290 31 0 1 0.5 0.0 7 0 0
 6428 32290 40 0 1 0.5 0.0 7 0 0
 6428 32290 8 0 1 0.5 0.0 7 0 0
 6428 32290 17 0 1 0.5 0.0 7 0 0
 6428 32290 46 0 1 0.5 0.0 7 0 0
 6428 32290 23 0 1 0.5 0.0 7 0 0
 6428 32290 35 0 1 0.5 0.0 7 0 0
 6428 32290 39 0 1 0.5 0.0 7 0 0
 6428 32290 44 0 1 0.5 0.0 7 0 0
 6428 32290 45 0 1 0.5 0.0 7 0 0
 6428 32290 12 0 1 0.5 0.0 7 0 0
 6428 32290 16 0 1 0.5 0.0 7 0 0
 6428 32290 21 0 1 0.5 0.0 7 0 0
 6428 32290 22 0 1 0.5 0.0 7 0 0
 6428 32290 61 0 1 0.5 0.0 7 0 0
 6428 32290 60 0 1 0.5 0.0 7 0 0
 6428 32290 59 0 1 0.5 0.0 7 0 0
