//========================================================================================================================================
// GHOST HORSE
//========================================================================================================================================
//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide
6856          32380         17            0             0.08     0.08     1.00     0.75        0.0         0.0
6856          32380         18            0             0.08     0.08     1.00     0.75        0.0         0.0
6856          32380         23            0             0.08     0.08     1.00     0.75        0.0         0.0
6856          32380         28            0             0.08     0.08     1.00     0.75        0.0         0.0
6856          32380         29            0             0.08     0.08     1.00     0.75        0.0         0.0
6856          32380         33            0             0.08     0.08     1.00     0.75        0.0         0.0
6856          32380         34            0             0.08     0.08     1.00     0.75        0.0         0.0
6856          32380         63            0             0.08     0.08     1.00     0.75        0.0         0.0
6856          32380         96            0             0.08     0.08     1.00     0.50        0.0         0.0
6856          32380         97            0             0.08     0.08     1.00     0.40        0.0         0.0
6856          32380         98            0             0.08     0.08     1.00     0.75        0.0         0.0
6856          32380         99            0             0.08     0.08     1.00     0.75        0.0         0.0
6856          32380         103           0             0.08     0.08     1.00     0.75        0.0         0.0
6856          32380         31            0             0.08     0.08     1.00     1.0         0.0         0.0
6856          32380         64            0             0.08     0.08     1.00     1.0         0.0         0.0
6856          32380         65            0             0.08     0.08     1.00     1.0         0.0         0.0
6856          32380         66            0             0.08     0.08     1.00     1.0         0.0         0.0
6856          32380         90            0             0.08     0.08     1.00     1.0         0.0         0.0
6856          32229         42            0             1.00     1.00     1.00     1.0         0.0         0.0
6856          32229         52            0             1.00     1.00     1.00     1.0         0.0         0.0
6856          32229         74            0             1.00     1.00     1.00     1.0         0.0         0.0
6856          32229         85            0             1.00     1.00     1.00     1.0         0.0         0.0
6856          32380         43            0             0.08     0.08     1.00     0.7         0.0         0.0
6856          32380         44            0             0.08     0.08     1.00     0.7         0.0         0.0
6856          32380         45            0             0.08     0.08     1.00     1.00        0.0         0.0
6856          32380         53            0             0.08     0.08     1.00     0.7         0.0         0.0
6856          32380         54            0             0.08     0.08     1.00     0.7         0.0         0.0
6856          32380         58            0             0.08     0.08     1.00     1.00        0.0         0.0
6856          32380         75            0             0.08     0.08     1.00     0.7         0.0         0.0
6856          32380         76            0             0.08     0.08     1.00     0.7         0.0         0.0
6856          32380         77            0             0.08     0.08     1.00     1.00        0.0         0.0
6856          32380         86            0             0.08     0.08     1.00     0.7         0.0         0.0
6856          32380         87            0             0.08     0.08     1.00     0.7         0.0         0.0
6856          32380         88            0             0.08     0.08     1.00     1.00        0.0         0.0
6856          32380         78            0             0.08     0.08     1.00     1.00        0.0         0.0
6856          32380         89            0             0.08     0.08     1.00     1.00        0.0         0.0
//========================================================================================================================================
// RED HORSE
//========================================================================================================================================
//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide
6905        32380         17            0              1.00     0.08     0.08       0.75         0.0         0.0
6905        32380         18            0              1.00     0.08     0.08       0.75         0.0         0.0
6905        32380         23            0              1.00     0.08     0.08       0.75         0.0         0.0
6905        32380         28            0              1.00     0.08     0.08       0.75         0.0         0.0
6905        32380         29            0              1.00     0.08     0.08       0.75         0.0         0.0
6905        32380         33            0              1.00     0.08     0.08       0.75         0.0         0.0
6905        32380         34            0              1.00     0.08     0.08       0.75         0.0         0.0
6905        32380         63            0              1.00     0.08     0.08       0.75         0.0         0.0
6905        32380         96            0              1.00     0.08     0.08       0.50         0.0         0.0
6905        32380         97            0              1.00     0.08     0.08       0.40         0.0         0.0
6905        32380         98            0              1.00     0.08     0.08       0.75         0.0         0.0
6905        32380         99            0              1.00     0.08     0.08       0.75         0.0         0.0
6905        32380         103           0              1.00     0.08     0.08       0.75         0.0         0.0
6905        32380         31           0               1.00     0.08     0.08       1.0         0.0         0.0
6905        32380         64           0               1.00     0.08     0.08       1.0         0.0         0.0
6905        32380         65           0               1.00     0.08     0.08       1.0         0.0         0.0
6905        32380         66           0               1.00     0.08     0.08       1.0         0.0         0.0
6905        32380         90           0               1.00     0.08     0.08       1.0         0.0         0.0
6905        32229         42           0               1.00     0.08     0.08       1.0         0.0         0.0
6905        32229         52           0               1.00     0.08      0.08       1.0         0.0         0.0
6905        32229         74           0               1.00     0.08      0.08       1.0         0.0         0.0
6905        32229         85           0               1.00     0.08      0.08       1.0         0.0         0.0
6905        32380         43           0               1.00     0.08     0.08       0.7         0.0         0.0
6905        32380         44           0               1.00     0.08     0.08       0.7         0.0         0.0
6905        32380         45           0               1.00     0.08     0.08       1.00         0.0         0.0
6905        32380         53           0               1.00     0.08     0.08       0.7         0.0         0.0
6905        32380         54           0               1.00     0.08     0.08       0.7         0.0         0.0
6905        32380         58           0               1.00     0.08     0.08       1.00         0.0         0.0
6905        32380         75           0               1.00     0.08     0.08       0.7         0.0         0.0
6905        32380         76           0               1.00     0.08     0.08       0.7         0.0         0.0
6905        32380         77           0               1.00     0.08     0.08       1.00         0.0         0.0
6905        32380         86           0               1.00     0.08     0.08       0.7         0.0         0.0
6905        32380         87           0               1.00     0.08     0.08       0.7         0.0         0.0
6905        32380         88           0               1.00     0.08     0.08       1.00         0.0         0.0
6905        32380         78           0               1.00     0.08     0.08       1.00         0.0         0.0
6905        32380         89           0               1.00     0.08     0.08       1.00         0.0         0.0
//========================================================================================================================================
// GOLD HORSE
//========================================================================================================================================
//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide
6906        32380         17            0              1.0     0.5     0.00       0.75         0.0         0.0
6906        32380         18            0              1.0     0.5     0.00       0.75         0.0         0.0
6906        32380         23            0              1.0     0.5     0.00       0.75         0.0         0.0
6906        32380         28            0              1.0     0.5     0.00       0.75         0.0         0.0
6906        32380         29            0              1.0     0.5     0.00       0.75         0.0         0.0
6906        32380         33            0              1.0     0.5     0.00       0.75         0.0         0.0
6906        32380         34            0              1.0     0.5     0.00       0.75         0.0         0.0
6906        32380         63            0              1.0     0.5     0.00       0.75         0.0         0.0
6906        32380         96            0              1.0     0.5     0.00       0.50         0.0         0.0
6906        32380         97            0              1.0     0.5     0.00       0.40         0.0         0.0
6906        32380         98            0              1.0     0.5     0.00       0.75         0.0         0.0
6906        32380         99            0              1.0     0.5     0.00       0.75         0.0         0.0
6906        32380         103           0              1.0     0.5     0.00       0.75         0.0         0.0
6906        32380         31           0              1.0     0.5     0.00       1.0         0.0         0.0
6906        32380         64           0              1.0     0.5     0.00       1.0         0.0         0.0
6906        32380         65           0              1.0     0.5     0.00       1.0         0.0         0.0
6906        32380         66           0              1.0     0.5     0.00       1.0         0.0         0.0
6906        32380         90           0              1.0     0.5     0.00       1.0         0.0         0.0
6906        32229         42           0             1.0     0.5     0.00       1.0         0.0         0.0
6906        32229         52           0             1.0     0.5     0.00       1.0         0.0         0.0
6906        32229         74           0             1.0     0.5     0.00       1.0         0.0         0.0
6906        32229         85           0             1.0     0.5     0.00       1.0         0.0         0.0
6906        32380         43           0              1.0     0.5     0.00       0.7         0.0         0.0
6906        32380         44           0              1.0     0.5     0.00       0.7         0.0         0.0
6906        32380         45           0              1.0     0.5     0.00       1.00         0.0         0.0
6906        32380         53           0              1.0     0.5     0.00       0.7         0.0         0.0
6906        32380         54           0              1.0     0.5     0.00       0.7         0.0         0.0
6906        32380         58           0              1.0     0.5     0.00       1.00         0.0         0.0
6906        32380         75           0              1.0     0.5     0.00       0.7         0.0         0.0
6906        32380         76           0              1.0     0.5     0.00       0.7         0.0         0.0
6906        32380         77           0              1.0     0.5     0.00       1.00         0.0         0.0
6906        32380         86           0              1.0     0.5     0.00       0.7         0.0         0.0
6906        32380         87           0              1.0     0.5     0.00       0.7         0.0         0.0
6906        32380         88           0              1.0     0.5     0.00       1.00         0.0         0.0
6906        32380         78           0              1.0     0.5     0.00       1.00         0.0         0.0
6906        32380         89           0              1.0     0.5     0.00       1.00         0.0         0.0
//========================================================================================================================================
// PET RUNE WIZARD
//========================================================================================================================================
//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide
6874          32140         1             0             0.35     0.34     1.00     -0.20         0.0         0.0
6874          32229         1             0             0.35     0.34     1.00     -0.30         0.0         0.0

//[NH SERVERS UPDATE JULY]
//========================================================================================================================================
// PET BALROG LV2
//========================================================================================================================================
6885          32002         19            0             2.00     0.10     0.08     1.4           0.0         0.0
//========================================================================================================================================
// PET SELUPAN LV2
//========================================================================================================================================
6895          32002         63            0             1.00     1.00     1.00     0.5           0.0         0.0
6895          32002         64            0             1.00     1.00     1.00     1.4           0.0         0.0
//========================================================================================================================================
// PET LORD SILVESTER LV2
//========================================================================================================================================
6899          32002         76            0             2.55     0.69     0.00     1.4           0.0         0.0
6899          32002         45            0             2.55     0.69     0.00     0.5           0.0         0.0
//========================================================================================================================================
// PET NIX LV2
//========================================================================================================================================
6901          32229         12            0             0.08     0.10     2.00     0.6           0.0         0.0
6901          32229         23            0             0.08     0.10     2.00     1.0           0.0         0.0
//========================================================================================================================================
// ICE DRAGON BLUE
//========================================================================================================================================
6902        32380         2            0               0.6     0.6      0.6      1.0        0.1         0.1
6902        32380         3           0               0.6     0.6      0.6       1.0        0.1         0.1
6902        32380         4           0                0.6     0.6      0.6       1.0        0.1         0.1
6902        32380         5           0               0.6     0.6      0.6      1.0        0.1         0.1
6902        32380         6           0               0.6     0.6      0.6       1.0        0.1         0.1
6902        32380         7           0               0.6     0.6      0.6       1.0        0.1         0.1
6902        32380         8           0               0.6     0.6      0.6       1.0        0.1         0.1
6902        32380         9           0               0.6     0.6      0.6       1.0        0.1         0.1
6902        32380         12           0               0.3     0.3      0.6       1.0        1         0.1
6902        32380         13           0               0.3     0.3      0.6       1.0      1         0.1
6902        32380         15            0               0.6     0.6      0.6      1.0         0.2         0.2
6902        32380         16           0               0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         17           0                0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         18           0               0.6     0.6      0.6      1.0         0.2         0.2
6902        32380         19           0               0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         19           0                 0.0     0.6      1.0       1.0         0.2         0.2
6902        32380         57           0               0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         58            0               0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         59           0               0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         60           0               0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         60           0               0.0     0.6      1.0       1.0         0.2         0.2
6902        32380         99            0               0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         100            0               0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         101           0               0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         102            0              0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         103            0              0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         103            0              0.0     0.6      1.0       1.0         0.2         0.2
6902        32380         117            0              0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         118           0              0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         119            0              0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         120            0              0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         121            0              0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         121            0                0.0     0.6      1.0      1.0         0.2         0.2
6902        32380         135            0              0.6     0.6      0.6       1.0         0.2         0.2
6902        32380         136            0              0.6     0.6      0.6       1.0         0.2         0.2
//========================================================================================================================================
// ICE DRAGON RED
//========================================================================================================================================
6903        32380         2            0                1.0     0.0     0.0      1.0        0.1         0.1
6903        32380         3           0                 1.0     0.0     0.0       1.0        0.1         0.1
6903        32380         4           0                  1.0     0.0     0.0      1.0        0.1         0.1
6903        32380         5           0                1.0     0.0     0.0      1.0        0.1         0.1
6903        32380         6           0                 1.0     0.0     0.0       1.0        0.1         0.1
6903        32380         7           0                 1.0     0.0     0.0       1.0        0.1         0.1
6903        32380         8           0                 1.0     0.0     0.0       1.0        0.1         0.1
6903        32380         9           0                 1.0     0.0     0.0      1.0        0.1         0.1
6903        32380         12           0               0.3     0.3      0.6       1.0        1         0.1
6903        32380         13           0               0.3     0.3      0.6       1.0      1         0.1
6903        32380         15            0               1.0     0.0     0.0     1.0         0.2         0.2
6903        32380         16           0               1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         17           0                1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         18           0               1.0     0.0     0.0     1.0         0.2         0.2
6903        32380         19           0               1.0     0.0     0.0      1.0         0.2         0.2
